'010110012110','01','01','1001','21','10','CHOCO LOCO','CHOCO LOCO','CHOCO LOCO','CHOCO LOCO',5,30,'','','J','2012-03-27 00:00:00',0,'0000-00-00 00:00:00'
'010110012115','01','01','1001','21','15','CHOCOLATE CHIPS','CHOCOLATE CHIPS','CHOCOLATE CHIPS','CHOCOLATE CHIPS',5,30,'','','J','2012-03-27 00:00:00',0,'0000-00-00 00:00:00'
'010110012120','01','01','1001','21','20','SPORTSNACKS','SNACK DU SPORT','MERENDINA DI SPORT ','SPORTSNACKS',5,30,'','','J','2012-03-27 00:00:00',0,'0000-00-00 00:00:00'
'010110012125','01','01','1001','21','25','SELECTION','SELECTION','SELECTION','SELECTION',5,30,'','','J','2012-03-27 00:00:00',0,'0000-00-00 00:00:00'
'010110012130','01','01','1001','21','30','M BUDGET','M BUDGET','M BUDGET','M BUDGET',5,30,'','','J','2012-03-27 00:00:00',0,'0000-00-00 00:00:00'
'010110012135','01','01','1001','21','35','DIVERS','DIVERS','DIVERSI','DIVERS',5,30,'','','J','2012-03-27 00:00:00',0,'0000-00-00 00:00:00'
'010110012500','01','01','1001','25','00','SCHAUMKUESSE','BAISERS AU CHOCOLAT','SPUMETTE AL CIOCCOLATO','CHOCOLATE KISSES',4,40,'','','','2012-08-22 00:00:00',0,'0000-00-00 00:00:00'
'010110012505','01','01','1001','25','05','SCHAUMKUESSE','BAISERS AU CHOCOLAT','SPUMETTE AL CIOCCOLATO','CHOCOLATE KISSES',5,40,'','','','2012-08-22 00:00:00',0,'0000-00-00 00:00:00'
'010110012600','01','01','1001','26','00','KLEINFORMATE','PETIT FORMAT','FORMATO RIDOTTO','SMALL FORMAT',4,30,'','','J','2012-03-27 00:00:00',0,'0000-00-00 00:00:00'
'010110012605','01','01','1001','26','05','NAPOLITAINS','NAPOLITAINS','NAPOLITAINS','NAPOLITAINS',5,30,'','','J','2012-03-27 00:00:00',0,'0000-00-00 00:00:00'
'010110012610','01','01','1001','26','10','CHOCO CONFISERIE','CONFISERIE CHOCO','CONFETTO CHOCO','CONFECTIONARY CHOCO',5,30,'','','J','2012-03-27 00:00:00',0,'0000-00-00 00:00:00'
'010110012615','01','01','1001','26','15','ZUCKER CONFISERIE','CONFISERIE SUCRE','CONFETTO ZUCCHERO','CONFECTIONARY SUGAR',5,30,'','','J','2012-03-27 00:00:00',0,'0000-00-00 00:00:00'
'010110012620','01','01','1001','26','20','DIVERS','DIVERS','DIVERSI','DIVERS',5,30,'','','J','2012-03-27 00:00:00',0,'0000-00-00 00:00:00'
'010110013000','01','01','1001','30','00','KINDER FERRERO','KINDER FERRERO','KINDER FERRERO','KINDER FERRERO',4,40,'','','','2012-08-22 00:00:00',0,'0000-00-00 00:00:00'
'010110013005','01','01','1001','30','05','KINDER FERRERO','KINDER FERRERO','KINDER FERRERO','KINDER FERRERO',5,40,'','','','2012-08-22 00:00:00',0,'0000-00-00 00:00:00'
'010110013100','01','01','1001','31','00','SCHAUMKUESSE','TETES AU CHOCO','MORETTI','CHOCOLATE MARSHMALLOW',4,30,'','','J','2012-03-27 00:00:00',0,'0000-00-00 00:00:00'
'010110013105','01','01','1001','31','05','MILCH','LAIT','LATTE','MILK',5,30,'','','J','2012-03-27 00:00:00',0,'0000-00-00 00:00:00'
'010110013110','01','01','1001','31','10','WEISS','BLANC','BIANCO','WHITE',5,30,'','','J','2012-03-27 00:00:00',0,'0000-00-00 00:00:00'
'010110013115','01','01','1001','31','15','DUNKEL','FONCE','AMARO','DARK',5,30,'','','J','2012-03-27 00:00:00',0,'0000-00-00 00:00:00'
'010110013500','01','01','1001','35','00','TOURIST SORTIMENT','TOURIST ASSORTIMENT','TOURIST ASSORTIMENTO','TOURIST ASSORTMENT',4,40,'','','','2012-08-22 00:00:00',0,'0000-00-00 00:00:00'
'010110013505','01','01','1001','35','05','TOURIST STANDARD','TOURIST STANDARD','TOURIST STANDARD','TOURIST STANDARD',5,40,'','','','2012-08-22 00:00:00',0,'0000-00-00 00:00:00'
'010110013510','01','01','1001','35','10','TOURIST SPEZIAL','TOURIST SPECIAL','TOURIST SPECIALE','TOURIST SPECIAL',5,40,'','','','2012-08-22 00:00:00',0,'0000-00-00 00:00:00'
'010110013600','01','01','1001','36','00','TOURISTENSORTIMENT','SORTIMENT DE TOURISME','ASSORTIMENTO TURISMO','ASSORTMENT TOURISM',4,30,'','','J','2012-03-27 00:00:00',0,'0000-00-00 00:00:00'
'010110013605','01','01','1001','36','05','NAPOLITAINS','NAPOLITAINS','NAPOLITAINS','NAPOLITAINS',5,30,'','','J','2012-03-27 00:00:00',0,'0000-00-00 00:00:00'
'010110013610','01','01','1001','36','10','DIVERS','DIVERS','DIVERSI','DIVERS',5,30,'','','J','2012-03-27 00:00:00',0,'0000-00-00 00:00:00'
'010110014000','01','01','1001','40','00','NAPOLITAINES','NAPOLITAINES','NAPOLITAINES','NAPOLITANES',4,40,'','','','2012-08-22 00:00:00',0,'0000-00-00 00:00:00'
'010110014005','01','01','1001','40','05','NAPOLITAINES','NAPOLITAINES','NAPOLITAINES','NAPOLITANES',5,40,'','','','2012-08-22 00:00:00',0,'0000-00-00 00:00:00'
'010110014100','01','01','1001','41','00','BIO','BIO','BIO','BIO',4,30,'','','J','2012-03-27 00:00:00',0,'0000-00-00 00:00:00'
'010110014105','01','01','1001','41','05','FILLED BARS','BARRES FOURREES','BARRETTE RIPIENE','FILLED BARS',5,30,'','','J','2012-03-27 00:00:00',0,'0000-00-00 00:00:00'
'010110014110','01','01','1001','41','10','BRANCHES','BRANCHES','BRANCHES','BRANCHES',5,30,'','','J','2012-03-27 00:00:00',0,'0000-00-00 00:00:00'
'010110014115','01','01','1001','41','15','KINDER','ENFANTS','PROGENIE','KIDS',5,30,'','','J','2012-03-27 00:00:00',0,'0000-00-00 00:00:00'
'010110014120','01','01','1001','41','20','KNABBERN','GRIGNOTEMENT','PILUCCARE','NIBBLING',5,30,'','','J','2012-03-27 00:00:00',0,'0000-00-00 00:00:00'
'010110014125','01','01','1001','41','25','KLEINFORMATE','PETIT FORMAT','FORMATO RIDOTTO','SMALL FORMAT',5,30,'','','J','2012-03-27 00:00:00',0,'0000-00-00 00:00:00'
'010110014130','01','01','1001','41','30','DIVERS','DIVERS','DIVERSI','DIVERS',5,30,'','','J','2012-03-27 00:00:00',0,'0000-00-00 00:00:00'
'010110014500','01','01','1001','45','00','CONFISERIE','CONFISERIE','CONFISERIE','CONFECTIONS',4,40,'','','','2012-08-22 00:00:00',0,'0000-00-00 00:00:00'
'010110014505','01','01','1001','45','05','CHOCO CONFISERIE','CHOCO CONFISERIE','CHOCO CONFISERIE','CHOCO CONFECTIONS',5,40,'','','','2012-08-22 00:00:00',0,'0000-00-00 00:00:00'
'010110014510','01','01','1001','45','10','ZUCKER CONFISERIE','CONFISERIE SUCRE','CONFISERIE AZUCAR','SUGAR CONFECTIONS',5,40,'','','','2012-08-22 00:00:00',0,'0000-00-00 00:00:00'
'010110014515','01','01','1001','45','15','MARZIPAN','MASSEPAIN','MARZAPANE','MARZIPAN',5,40,'','','','2012-08-22 00:00:00',0,'0000-00-00 00:00:00'
'010110019000','01','01','1001','90','00','GUTSCHEIN','BON','BUON','COUPON',4,30,'','','J','2007-05-04 00:00:00',0,'0000-00-00 00:00:00'
'010110019005','01','01','1001','90','05','GUTSCHEIN','BON','BUON','COUPON',5,30,'','','J','2007-05-07 00:00:00',0,'0000-00-00 00:00:00'
'010110020000','01','01','1002','00','00','EVENTS','EVENTS','EVENTS','EVENTS',3,30,'','','N','2006-01-18 00:00:00',0,'0000-00-00 00:00:00'
